"locality"	"maximumDepthInMeters"	"minimumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"lifeStage"	"taxonRemarks"	"eventRemarks"	"verbatimScientificName"
"Sofiadypet"	15	15	"iopan.pl"	"cells/l"	"Thalassiosira"	"sp."	2012	"PolarNight2012"	"Sofiadypet_15m_2012-01-14"	"species"	"Occurrence"	53.6016666666667	5	0.9328068157084668	"l"	"present"	"verified"	100	321.61	10	200	60	16.0805	"Niskin bottle"	"microplankton"					
"Sofiadypet"	15	15	"iopan.pl"	"cells/l"	"Torodinium robustum"		2012	"PolarNight2012"	"Sofiadypet_15m_2012-01-14"		"Occurrence"	21.4406666666667	2	0.9328068157084668	"l"	"present"	"verified"	100	321.61	10	200	60	6.4322	"Niskin bottle"	"microplankton"					
"Sofiadypet"	15	15	"iopan.pl"	"cells/l"	"Tripos fusus"		2012	"PolarNight2012"	"Sofiadypet_15m_2012-01-14"		"Occurrence"	10.7203333333333	1	0.9328068157084668	"l"	"present"	"verified"	100	321.61	10	200	60	3.2161	"Niskin bottle"	"microplankton"	"Neoceratium fusus"				
"Sofiadypet"	15	15	"iopan.pl"	"cells/l"	"Tripos arcticus"		2012	"PolarNight2012"	"Sofiadypet_15m_2012-01-14"		"Occurrence"	10.7203333333333	1	0.9328068157084668	"l"	"present"	"verified"	100	321.61	10	200	60	3.2161	"Niskin bottle"	"microplankton"	"Neoceratium arcticum"				
"Sofiadypet"	15	15	"iopan.pl"	"cells/l"	"Peridinea"		2012	"PolarNight2012"	"Sofiadypet_15m_2012-01-14"		"Occurrence"	299.827891156463	2	0.0667049350307546	"l"	"present"	"verified"	98	4407.47	10	200	60	89.9483673469388	"Niskin bottle"	"microplankton"	"Peridinea cysts"	"cysts"			
"Sofiadypet"	15	15	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2012	"PolarNight2012"	"Sofiadypet_15m_2012-01-14"		"Occurrence"	149.913945578231	1	0.0667049350307546	"l"	"present"	"verified"	98	4407.47	10	200	60	44.9741836734694	"Niskin bottle"	"microplankton"					
"Rijpfjorden"	35	35	"iopan.pl"	"cells/l"	"Phalacroma rotundatum"		2012	"PolarNight2012"	"Rijpfjorden_35m_2012-01-12"		"Occurrence"	34.213829787234	3	0.8768384067659587	"l"	"present"	"verified"	94	321.61	10	200	60	10.2641489361702	"Niskin bottle"	"microplankton"	"Dinophysis rotundata"				
"Rijpfjorden"	35	35	"iopan.pl"	"cells/l"	"Peridinea"	"indet.thecate 10-20"	2012	"PolarNight2012"	"Rijpfjorden_35m_2012-01-12"		"Occurrence"	57.0230496453901	5	0.8768384067659587	"l"	"present"	"verified"	94	321.61	10	200	60	17.106914893617	"Niskin bottle"	"microplankton"	"Peridinea non det.thecate 10-20"		"thecate 10-20"		
"Rijpfjorden"	35	35	"iopan.pl"	"cells/l"	"Thalassiosira"	"sp."	2012	"PolarNight2012"	"Rijpfjorden_35m_2012-01-12"	"species"	"Occurrence"	22.809219858156	2	0.8768384067659587	"l"	"present"	"verified"	94	321.61	10	200	60	6.84276595744681	"Niskin bottle"	"microplankton"					
"Rijpfjorden"	35	35	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2012	"PolarNight2012"	"Rijpfjorden_35m_2012-01-12"		"Occurrence"	141.265064102564	1	0.07078891064488244	"l"	"present"	"verified"	104	4407.47	10	200	60	42.3795192307692	"Niskin bottle"	"microplankton"					
"Rijpfjorden"	0		"iopan.pl"	"cells/l"	"Protoperidinium cerasus"		2012	"PolarNight2012"	"Rijpfjorden_0m_2012-01-12"		"Occurrence"	8.93361111111111	1	1.1193681788501602	"l"	"present"	"verified"	120	321.61	10	200	60	2.68008333333333	"Niskin bottle"	"microplankton"					
"Rijpfjorden"	0		"iopan.pl"	"cells/l"	"Phalacroma rotundatum"		2012	"PolarNight2012"	"Rijpfjorden_0m_2012-01-12"		"Occurrence"	8.93361111111111	1	1.1193681788501602	"l"	"present"	"verified"	120	321.61	10	200	60	2.68008333333333	"Niskin bottle"	"microplankton"	"Dinophysis rotundata"				
"Rijpfjorden"	0		"iopan.pl"	"cells/l"	"Gymnodiniales"		2012	"PolarNight2012"	"Rijpfjorden_0m_2012-01-12"		"Occurrence"	8.93361111111111	1	1.1193681788501602	"l"	"present"	"verified"	120	321.61	10	200	60	2.68008333333333	"Niskin bottle"	"microplankton"	"Gymnodiniales 40-50um"		"40-50"		
"Rijpfjorden"	0		"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. 5-10"	2012	"PolarNight2012"	"Rijpfjorden_0m_2012-01-12"	"species"	"Occurrence"	114.777864583333	1	0.08712481310139376	"l"	"present"	"verified"	128	4407.47	10	200	60	34.433359375	"Niskin bottle"	"microplankton"	"Gymnodinium sp.5-10"		"5-10"		
"Rijpfjorden"	0		"iopan.pl"	"cells/l"	"Peridinea"	"indet.thecate 20-30"	2012	"PolarNight2012"	"Rijpfjorden_0m_2012-01-12"		"Occurrence"	114.777864583333	1	0.08712481310139376	"l"	"present"	"verified"	128	4407.47	10	200	60	34.433359375	"Niskin bottle"	"microplankton"	"Peridinea non det.thecate 20-30"		"thecate 20-30"		
"Rijpfjorden"	0		"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. 20-30"	2012	"PolarNight2012"	"Rijpfjorden_0m_2012-01-12"	"species"	"Occurrence"	114.777864583333	1	0.08712481310139376	"l"	"present"	"verified"	128	4407.47	10	200	60	34.433359375	"Niskin bottle"	"microplankton"	"Gymnodinium sp.20-30"		"20-30"		
"Sofiadypet"	150	150	"iopan.pl"	"cells/l"	"Thalassiosira"	"sp."	2012	"PolarNight2012"	"Sofiadypet_150m_2012-01-14"	"species"	"Occurrence"	8.44120734908137	1	1.1846646559497527	"l"	"present"	"verified"	127	321.61	10	200	60	2.53236220472441	"Niskin bottle"	"microplankton"					
"Sofiadypet"	150	150	"iopan.pl"	"cells/l"	"Coccolithus pelagicus"		2012	"PolarNight2012"	"Sofiadypet_150m_2012-01-14"		"Occurrence"	272.066049382716	2	0.07351156105430098	"l"	"present"	"verified"	108	4407.47	10	200	60	81.6198148148148	"Niskin bottle"	"microplankton"					
"Sofiadypet"	150	150	"iopan.pl"	"cells/l"	"Pronoctiluca pelagica"		2012	"PolarNight2012"	"Sofiadypet_150m_2012-01-14"		"Occurrence"	136.033024691358	1	0.07351156105430098	"l"	"present"	"verified"	108	4407.47	10	200	60	40.8099074074074	"Niskin bottle"	"microplankton"					
"Sofiadypet"	150	150	"iopan.pl"	"cells/l"	"Dictyocha speculum"		2012	"PolarNight2012"	"Sofiadypet_150m_2012-01-14"		"Occurrence"	136.033024691358	1	0.07351156105430098	"l"	"present"	"verified"	108	4407.47	10	200	60	40.8099074074074	"Niskin bottle"	"microplankton"					
"Rijpfjorden"			"iopan.pl"	"cells/l"	"Gyrosigma fasciola"		2012	"PolarNight2012"	"Rijpfjorden_m_2012-01-12"		"Occurrence"	146.915666666667	1	0.06806626023546387	"l"	"present"	"verified"	100	4407.47	10	200	60	44.0747	"Niskin bottle"	"microplankton"				"Sampled at bottom"	
"Rijpfjorden"			"iopan.pl"	"cells/l"	"Peridinea"		2012	"PolarNight2012"	"Rijpfjorden_m_2012-01-12"		"Occurrence"	146.915666666667	1	0.06806626023546387	"l"	"present"	"verified"	100	4407.47	10	200	60	44.0747	"Niskin bottle"	"microplankton"	"Peridinea cysts"	"cysts"		"Sampled at bottom"	
